"Name","Fulladdress","Street","Municipality","Categories","Plus Code","Phone","Phones","Emails","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening hours","Featured image","Cid","Place Id","Kgmid"
"Devils Choice Mc Moss","Dronningveien 47, 1550 Hølen, Norway","Dronningveien 47","1550 Hølen","Motorcycle club","","+47 64 95 55 50","64 95 55 50, +47 64 95 55 50",,21,4.9,"https://search.google.com/local/reviews?placeid=ChIJf5p7cUpQQUYRISeLdw0kV1A&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=5789135486266844961","https://www.googlresult.com/search?kgmid=/g/1v3gqhh7&kponly",59.542334,10.7496716,"","","","https://lh5.googleusercontent.com/p/AF1QipMgBPaFpAn4EKI76-qpyMWybizjBbWtKQOrCkD6=w189-h92-k-no","5789135486266844961","ChIJf5p7cUpQQUYRISeLdw0kV1A","/g/1v3gqhh7"
"Devils Choice MC Bergen","Kjøkkelvikveien 146, 5178 Loddefjord, Norway","Kjøkkelvikveien 146","5178 Loddefjord","Association or organization","","+47 55 50 96 43","55 50 96 43, +47 55 50 96 43",,20,5,"https://search.google.com/local/reviews?placeid=ChIJjVnvIpz8PEYR6u_LdGiv_mQ&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=7277446911048282090","https://www.googlresult.com/search?kgmid=/g/11c5rmv6cb&kponly",60.391039299999996,5.225974,"","","Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipPnSCG99RuBJm1R8bqfNS0ovo5zH-9WaOx_2jK4=w91-h92-k-no","7277446911048282090","ChIJjVnvIpz8PEYR6u_LdGiv_mQ","/g/11c5rmv6cb"
"Devils-Choice","Bækvej 5, 4690 Haslev, Denmark","Bækvej 5","4690 Haslev","University","","+45 56 31 40 37","56 31 40 37, +45 56 31 40 37",,7,5,"https://search.google.com/local/reviews?placeid=ChIJGbV45EfrUkYRCKpAH3BOISQ&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=2603448303064492552","https://www.googlresult.com/search?kgmid=/g/11g9m8qgp6&kponly",55.330214,11.9425861,"http://devilschoicehaslev.dk/","devilschoicehaslev.dk","","","2603448303064492552","ChIJGbV45EfrUkYRCKpAH3BOISQ","/g/11g9m8qgp6"
"Devils Choice MC Farsund","Stokkeveien 2, 4550 Farsund, Norway","Stokkeveien 2","4550 Farsund","Motorcycle club","","","",,15,4.9,"https://search.google.com/local/reviews?placeid=ChIJg9WH83FkN0YRTOXa4sm5Gek&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=16796660562000536908","https://www.googlresult.com/search?kgmid=/g/11fxc1qy4r&kponly",58.092427,6.7365664,"","","Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOdmgoLOGYpJ3KKt1BEn87TCE9Ok0jk2udax9AT=w122-h92-k-no","16796660562000536908","ChIJg9WH83FkN0YRTOXa4sm5Gek","/g/11fxc1qy4r"
"Devils Choice Mc Seaside Official","Ingemanns Alle 57L, 6700 Esbjerg, Denmark","Ingemanns Alle 57L","6700 Esbjerg","Motoring club,Motorcycle repair shop","","","",,13,4.5,"https://search.google.com/local/reviews?placeid=ChIJX_-gCLUmS0YR5ikUlQNbAGY&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=7349974662812805606","https://www.googlresult.com/search?kgmid=/g/11bzxckbp7&kponly",55.462492499999996,8.4808655,"","","Sunday:[Closed], Monday:[Closed], Tuesday:[Closed], Wednesday:[Closed], Thursday:[Closed], Friday:[8 PM-12 AM], Saturday:[Closed]","https://lh5.googleusercontent.com/p/AF1QipOnaMboRIyqGuYpf4JxSQpyA68IwOmew7c9f6Q2=w80-h106-k-no","7349974662812805606","ChIJX_-gCLUmS0YR5ikUlQNbAGY","/g/11bzxckbp7"
"Devils Choice Mc Aasgaard","Brekkeveien 14, 1430 Ås, Norway","Brekkeveien 14","1430 Ås","7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ8BcIqwEoAA,Brekkeveien 14,1430 Ås,Norway,,,,,,,,,59.6609723,10.795115299999999,0x46415b431bb99a11:0x8ab334a4a94f994a,Devils Choice Mc Aasgaard,,,,,,,Devils Choice Mc Aasgaard, Brekkeveien 14, 1430 Ås, Norway,,,,,,,,,,,,,,,,,,,,,,,,,1,Favorites,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCLcBKAA,2,Want to go,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCLgBKAE,7,Travel plans,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCLkBKAI,4,Starred places,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCLoBKAM,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ0JcGCLYBKAo,,,,,Europe/Oslo,,,,,,,fFv_aBWyAOB-9aiWZ5hJsQ,0,1,Devils Choice Mc Aasgaard,,605.3329,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fFv_aBWyAOB-9aiWZ5hJsQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.10922&pitch=0&thumbfov=100,,,80,92,,3,10.794352099050197,59.66114481861311,114.10922,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCLwBKAA,,,,,0x46415b431bb99a11:0x8ab334a4a94f994a,,Brekkeveien 14, 1430 Ås, Norway,,,Street View,,2,fFv_aBWyAOB-9aiWZ5hJsQ,2,2,,,,,2,,,59.66114481861311,10.794352099050197,,7.256919,87.83182,359.20593,3,,,2,,,,launch,6,,,2023,5,29,15,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|fFv_aBWyAOB-9aiWZ5hJsQ,1,2,,,,,,,5062427799927233041,-8452354193824442038,,TL_gQqSDD_o,1,,7c18ZKnFDbSH0PEPvbiIyA0,,EvgDKYQi49-NlUMIDwAAAAEAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAFCVCmEIuPfjZVD6AEAACAAAAADAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAQAAAAAAA,,,1,0,1,,0,0,,Brekkeveien 14, 1430 Ås, Norway,,,,,,,,,,https://business.google.com/create?fp=9994389879885109578&hl=en&authuser=0&gmbsrc=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,Claim this business,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ_1kIvwEoDg,,,,,,,,,,,,Rate and review,Share your experience to help others,,1,Share details of your own experience at this place,,,,,,0,,,,,,Devils Choice Mc Aasgaard (Owner),,,,,,,100791134781455985763,,,,1,,,,,,1,,,,,fFv_aBWyAOB-9aiWZ5hJsQ,0,1,Devils Choice Mc Aasgaard,,605.3329,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fFv_aBWyAOB-9aiWZ5hJsQ&cb_client=search.gws-prod.gps&w=86&h=86&yaw=114.10922&pitch=0&thumbfov=100,Devils Choice Mc Aasgaard,,86,86,,3,10.794352099050197,59.66114481861311,114.10922,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCL0BKAw,,,,,0x46415b431bb99a11:0x8ab334a4a94f994a,,Brekkeveien 14, 1430 Ås, Norway,,,Street View,,2,fFv_aBWyAOB-9aiWZ5hJsQ,2,2,,,,,2,,,59.66114481861311,10.794352099050197,,7.256919,87.83182,359.20593,3,,,2,,,,launch,6,,,2023,5,29,15,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|fFv_aBWyAOB-9aiWZ5hJsQ,1,2,,,,,,,5062427799927233041,-8452354193824442038,,TL_gQqSDD_o,fFv_aBWyAOB-9aiWZ5hJsQ,0,1,Devils Choice Mc Aasgaard,,605.3329,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fFv_aBWyAOB-9aiWZ5hJsQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.10922&pitch=0&thumbfov=100,Devils Choice Mc Aasgaard,,408,240,,3,10.794352099050197,59.66114481861311,114.10922,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCL4BKA0,,,,,0x46415b431bb99a11:0x8ab334a4a94f994a,,Brekkeveien 14, 1430 Ås, Norway,,,Street View,,2,fFv_aBWyAOB-9aiWZ5hJsQ,2,2,,,,,2,,,59.66114481861311,10.794352099050197,,7.256919,87.83182,359.20593,3,,,2,,,,launch,6,,,2023,5,29,15,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|fFv_aBWyAOB-9aiWZ5hJsQ,1,2,,,,,,,5062427799927233041,-8452354193824442038,,TL_gQqSDD_o,,,,,,ChIJEZq5G0NbQUYRSplPqaQ0s4o,,,,,Brekkeveien 14,Brekkeveien 14,As,,,,,,,,,Devils Choice Mc Aasgaard,,,188,187,1166,186,/g/11fmz2_1r8,,,,,,,,,,,,,,,,,,Norwegian,,,no,,English,en,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,As, Norway,,,,,,,,https://www.google.com/search?q=local+guide+program&ibp=gwp;0,26,OioKKCIkRGV2aWxzIENob2ljZSBNYyBBYXNnYWFyZCBBcywgTm9yd2F5KAI&pcl=lp,,,,,,,,,7,Devils Choice Mc Aasgaard,Brekkeveien 14,1430 Ås,Norway,2,Devils Choice Mc Aasgaard, Brekkeveien 14, 1430 Ås, Norway,1,Brekkeveien 14, 1430 Ås, Norway,4,As, Norway,,Brekkeveien 14,Brekkeveien 14,As,1430,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6609723,10.795115299999999,ChBEZXZpbHMgQ2hvaWNlIE1D4AEA,,,,,,,,,,,,,,,,,https://business.google.com/local/business/setup/create?fp=9994389879885109578&hl=en&authuser=0&gmbsrc=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,,,,,,1,0x46415b431bb99a11:0x8ab334a4a94f994a,,,/g/11fmz2_1r8,ChIJEZq5G0NbQUYRSplPqaQ0s4o","","","",,"","","","https://www.googlresult.com/maps?cid=9994389879885109578","https://www.googlresult.com/search?kgmid=/g/11fmz2_1r8&kponly",59.6609723,10.795115299999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fFv_aBWyAOB-9aiWZ5hJsQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.10922&pitch=0&thumbfov=100","9994389879885109578","ChIJEZq5G0NbQUYRSplPqaQ0s4o","/g/11fmz2_1r8"
"Devils Choise MC South Area","Aabenraavej 38, 6340 Kruså, Denmark","Aabenraavej 38","6340 Kruså","7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ8BcIwgEoAA,Aabenraavej 38,6340 Kruså,Denmark,,,,,https://search.google.com/local/reviews?placeid=ChIJF5wO_dFbs0cR0_J2_MnDcEU&q=Devils+Choice+MC&authuser=0&hl=en&gl=US,6 reviews,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ6W4IzgEoAA,,,,5,6,,,,,,,54.8908637,9.425435499999999,0x47b35bd1fd0e9c17:0x4570c3c9fc76f2d3,Devils Choise MC South Area,,,,,,,Devils Choise MC South Area, Aabenraavej 38, 6340 Kruså, Denmark,,,,,,,,,,,,,,,,,,,,,,,,,1,Favorites,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCNABKAA,2,Want to go,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCNEBKAE,7,Travel plans,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCNIBKAI,4,Starred places,,1,,,,,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQwaQDCNMBKAM,,,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ0JcGCM8BKAs,,,,,Europe/Copenhagen,,,,,,,23cHOM9ZWvk9G2kHA2Blyw,0,1,Devils Choise MC South Area,,601.74304,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=23cHOM9ZWvk9G2kHA2Blyw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=100.84011&pitch=0&thumbfov=100,,,80,92,,3,9.425275087899507,54.89088136624043,100.84011,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCNUBKAA,,,,,0x47b35bd1fd0e9c17:0x4570c3c9fc76f2d3,,Aabenraavej 38, 6340 Kruså, Denmark,,,Street View,,2,23cHOM9ZWvk9G2kHA2Blyw,2,2,,,,,2,,,54.89088136624043,9.425275087899507,,207.39189,89.776184,1.3632972,3,,,2,,,,launch,6,,,2023,6,1,6,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|23cHOM9ZWvk9G2kHA2Blyw,1,2,,,,,,,5166574154975976471,5003714458300117715,,ZJM31bzn9iI,1,,7c18ZKnFDbSH0PEPvbiIyA0,,EvgDKYQi49-NlUMIDwAAAAEAAAMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAFCVCmEIuPfjZVD6AEAACAAAAADAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAA,,,1,0,1,,0,0,,Aabenraavej 38, 6340 Kruså, Denmark,,,,,,,,,,https://business.google.com/create?fp=5003714458300117715&hl=en&authuser=0&gmbsrc=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,Claim this business,,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQ_1kI2AEoDw,,,,,,0,0,0,0,6,,,,,,Rate and review,Share your experience to help others,,1,Share details of your own experience at this place,,,,,,0,,,,,,Devils Choise MC South Area (Owner),,,,,,,115432517827797489141,,,,1,,,,,,1,,,,,23cHOM9ZWvk9G2kHA2Blyw,0,1,Devils Choise MC South Area,,601.74304,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=23cHOM9ZWvk9G2kHA2Blyw&cb_client=search.gws-prod.gps&w=86&h=86&yaw=100.84011&pitch=0&thumbfov=100,Devils Choise MC South Area,,86,86,,3,9.425275087899507,54.89088136624043,100.84011,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCNYBKA0,,,,,0x47b35bd1fd0e9c17:0x4570c3c9fc76f2d3,,Aabenraavej 38, 6340 Kruså, Denmark,,,Street View,,2,23cHOM9ZWvk9G2kHA2Blyw,2,2,,,,,2,,,54.89088136624043,9.425275087899507,,207.39189,89.776184,1.3632972,3,,,2,,,,launch,6,,,2023,6,1,6,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|23cHOM9ZWvk9G2kHA2Blyw,1,2,,,,,,,5166574154975976471,5003714458300117715,,ZJM31bzn9iI,23cHOM9ZWvk9G2kHA2Blyw,0,1,Devils Choise MC South Area,,601.74304,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=23cHOM9ZWvk9G2kHA2Blyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.84011&pitch=0&thumbfov=100,Devils Choise MC South Area,,408,240,,3,9.425275087899507,54.89088136624043,100.84011,90,1024,768,75,7c18ZKnFDbSH0PEPvbiIyA0,0ahUKEwjp78Pplar_AhW0AzQIHT0cAtkQkI4GCNcBKA4,,,,,0x47b35bd1fd0e9c17:0x4570c3c9fc76f2d3,,Aabenraavej 38, 6340 Kruså, Denmark,,,Street View,,2,23cHOM9ZWvk9G2kHA2Blyw,2,2,,,,,2,,,54.89088136624043,9.425275087899507,,207.39189,89.776184,1.3632972,3,,,2,,,,launch,6,,,2023,6,1,6,,,,,,,,,,,,,GEO_PHOTO_REFERENCE,IMAGE_ALLEYCAT|23cHOM9ZWvk9G2kHA2Blyw,1,2,,,,,,,5166574154975976471,5003714458300117715,,ZJM31bzn9iI,,,,,,ChIJF5wO_dFbs0cR0_J2_MnDcEU,,,,,Aabenraavej 38,Aabenraavej 38,Kruså,,,,,,,,,Devils Choise MC South Area,,,188,187,1166,186,/g/11fm34mz_y,,,,,,,,,,,,,,,,,,Danish,,,da,,English,en,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,Kruså, Denmark,,,,,,,,https://www.google.com/search?q=local+guide+program&ibp=gwp;0,26,OjEKLyIrRGV2aWxzIENob2lzZSBNQyBTb3V0aCBBcmVhIEtydXPDpSwgRGVubWFyaygC&pcl=lp,,,,,,,,,7,Devils Choise MC South Area,Aabenraavej 38,6340 Kruså,Denmark,2,Devils Choise MC South Area, Aabenraavej 38, 6340 Kruså, Denmark,1,Aabenraavej 38, 6340 Kruså, Denmark,4,Kruså, Denmark,,Aabenraavej 38,Aabenraavej 38,Kruså,6340,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8908637,9.425435499999999,ChBEZXZpbHMgQ2hvaWNlIE1D4AEA,,,,,,,,,,,,,,,,,https://business.google.com/local/business/setup/create?fp=5003714458300117715&hl=en&authuser=0&gmbsrc=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=us-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted,,,,,,1,0x47b35bd1fd0e9c17:0x4570c3c9fc76f2d3,,,/g/11fm34mz_y,ChIJF5wO_dFbs0cR0_J2_MnDcEU","","","",,6,5,"https://search.google.com/local/reviews?placeid=ChIJF5wO_dFbs0cR0_J2_MnDcEU&q=Devils+Choice+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=5003714458300117715","https://www.googlresult.com/search?kgmid=/g/11fm34mz_y&kponly",54.8908637,9.425435499999999,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=23cHOM9ZWvk9G2kHA2Blyw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=100.84011&pitch=0&thumbfov=100","5003714458300117715","ChIJF5wO_dFbs0cR0_J2_MnDcEU","/g/11fm34mz_y"
"Iron Workers Union","4550 S 134th Pl, Tukwila, WA 98168","4550 S 134th Pl","Tukwila, WA 98168","Labor union","","(206) 248-4246","(206) 248-4246, +1 206-248-4246",,41,4.6,"https://search.google.com/local/reviews?placeid=ChIJzxTe1ONCkFQR9gRc_zEm6sI&q=Iron+Workers+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=14045080384087786742","https://www.googlresult.com/search?kgmid=/g/1tf07cb9&kponly",47.484294299999995,-122.27560489999999,"http://www.local86.org/","local86.org","Sunday:[Closed], Monday:[7 AM-4 PM], Tuesday:[7 AM-4 PM], Wednesday:[7 AM-4 PM], Thursday:[7 AM-4 PM], Friday:[7 AM-4 PM], Saturday:[Closed]","https://lh5.googleusercontent.com/p/AF1QipNct_pDQwltKE6VyU3rZVBr2PT8T1XUpelUpqbg=w163-h92-k-no","14045080384087786742","ChIJzxTe1ONCkFQR9gRc_zEm6sI","/g/1tf07cb9"
"ironworkers trust","7525 SE 24th St, Mercer Island, WA 98040","7525 SE 24th St","Mercer Island, WA 98040","Insurance agency","","(206) 441-7226","(206) 441-7226, +1 206-441-7226","//outlook.office365.com/owa/calendar/NorthwestIronworkersTrustFunds@wpas-inc.com",14,4.2,"https://search.google.com/local/reviews?placeid=ChIJVVXlLKVrkFQRVAsIO2UBN8w&q=Iron+Workers+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=14715231841750092628","https://www.googlresult.com/search?kgmid=/g/11f3txjv17&kponly",47.5887172,-122.2386233,"https://www.ironworkerstrust.com/","ironworkerstrust.com","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2Pu79-G37f8oMD9UaVTmCw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=37.151787&pitch=0&thumbfov=100","14715231841750092628","ChIJVVXlLKVrkFQRVAsIO2UBN8w","/g/11f3txjv17"
"Iron Workers Local 29","11620 NE Ainsworth Cir STE 200, Portland, OR 97220","11620 NE Ainsworth Cir STE 200","Portland, OR 97220","Labor union","","(503) 774-0777","(503) 774-0777, +1 503-774-0777",,13,5,"https://search.google.com/local/reviews?placeid=ChIJnThfSoujlVQRmmysmsudaeE&q=Iron+Workers+MC&authuser=0&hl=en&gl=US","https://www.googlresult.com/maps?cid=16242687028887317658","https://www.googlresult.com/search?kgmid=/g/1tdy45dl&kponly",45.5663341,-122.5432989,"https://ironworkers29.org/","ironworkers29.org","Sunday:[Closed], Monday:[7 AM-4 PM], Tuesday:[7 AM-4 PM], Wednesday:[7 AM-4 PM], Thursday:[7 AM-4 PM], Friday:[7 AM-4 PM], Saturday:[Closed]","https://lh5.googleusercontent.com/p/AF1QipN1Uhcxim_6IxQc3dyEU5MDZqznQgiFnmLBe5l8=w80-h106-k-no","16242687028887317658","ChIJnThfSoujlVQRmmysmsudaeE","/g/1tdy45dl"
